designation,l,b,dl,db,ra,dec,dra,ddec
SSTGLMA G065.2576+00.5364,65.257641,0.536419,0.3,0.3,298.431932,28.695396,0.3,0.3
SSTGLMA G065.2605+01.3182,65.260549,1.318272,0.3,0.3,297.666496,29.098173,0.3,0.3
SSTGLMA G065.2643+00.0090,65.264393,0.009047,0.3,0.3,298.95003,28.428747,0.3,0.3
SSTGLMA G065.2739+00.3756,65.273963,0.375617,0.3,0.3,298.598567,28.626519,0.3,0.3
SSTGLMA G065.2747-00.8938,65.274714,-0.893861,0.3,0.3,299.83027,27.966653,0.3,0.3
SSTGLMA G065.2855+01.5763,65.285544,1.576311,0.3,0.3,297.426536,29.250851,0.3,0.3
SSTGLMA G065.2890+01.7982,65.289008,1.79828,0.3,0.3,297.209078,29.366288,0.3,0.3
SSTGLMA G065.2946-00.3192,65.294649,-0.319264,0.3,0.3,299.286651,28.284001,0.3,0.3
SSTGLMA G065.2997+02.5346,65.299786,2.534625,0.3,0.3,296.483745,29.746063,0.3,0.3
SSTGLMA G065.3006+01.4423,65.30067,1.442364,0.3,0.3,297.567546,29.195841,0.3,0.3
SSTGLMA G065.3017-00.0593,65.301722,-0.059367,0.3,0.3,299.038558,28.425172,0.3,0.3
SSTGLMA G065.3023+01.0107,65.302365,1.010697,0.3,0.3,297.99343,28.97715,0.3,0.3
SSTGLMA G065.3052+00.2949,65.305206,0.294983,0.3,0.3,298.69561,28.611647,0.3,0.3
SSTGLMA G065.3076+01.2804,65.307661,1.280456,0.3,0.3,297.731203,29.11944,0.3,0.3
SSTGLMA G065.3107+01.0838,65.310713,1.083858,0.3,0.3,297.926422,29.021731,0.3,0.3
SSTGLMA G065.3127+00.7827,65.312729,0.782775,0.3,0.3,298.223119,28.869267,0.3,0.3
SSTGLMA G065.3127+00.7064,65.312751,0.706486,0.3,0.3,298.297872,28.830113,0.3,0.3
SSTGLMA G065.3135+01.7074,65.313542,1.707467,0.3,0.3,297.313176,29.341469,0.3,0.3
SSTGLMA G065.3309-00.4582,65.330935,-0.4582,0.3,0.3,299.442736,28.242528,0.3,0.3
SSTGLMA G065.3405-00.6504,65.340531,-0.650481,0.3,0.3,299.634435,28.150225,0.3,0.3
SSTGLMA G065.3487+00.1374,65.348756,0.137417,0.3,0.3,298.87484,28.567418,0.3,0.3
SSTGLMA G065.3534+00.8474,65.353481,0.847444,0.3,0.3,298.183593,28.937422,0.3,0.3
SSTGLMA G065.3537+00.8115,65.353789,0.811531,0.3,0.3,298.218995,28.919262,0.3,0.3
SSTGLMA G065.3598+00.8925,65.359841,0.892578,0.3,0.3,298.143037,28.966025,0.3,0.3
SSTGLMA G065.3619+00.2478,65.361898,0.247817,0.3,0.3,298.774991,28.635798,0.3,0.3
SSTGLMA G065.3628+01.3228,65.362848,1.322886,0.3,0.3,297.721594,29.188533,0.3,0.3
SSTGLMA G065.3676-00.5954,65.367687,-0.595408,0.3,0.3,299.597304,28.202178,0.3,0.3
SSTGLMA G065.3706+00.8508,65.37065,0.850825,0.3,0.3,298.190339,28.953893,0.3,0.3
SSTGLMA G065.3771+01.6156,65.377125,1.615678,0.3,0.3,297.440907,29.349711,0.3,0.3
SSTGLMA G065.3801+00.3764,65.38011,0.376472,0.3,0.3,298.660174,28.717874,0.3,0.3
SSTGLMA G065.3803-00.0806,65.380323,-0.080606,0.3,0.3,299.105627,28.481315,0.3,0.3
SSTGLMA G065.3808+00.5342,65.380873,0.534264,0.3,0.3,298.50642,28.799916,0.3,0.3
SSTGLMA G065.3817+00.9010,65.381794,0.901039,0.3,0.3,298.147595,28.989209,0.3,0.3
SSTGLMA G065.3820+02.7320,65.382055,2.732028,0.3,0.3,296.334002,29.915908,0.3,0.3
