SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax
106390,296.015197,21.806214,58.211286,-1.070469,1827645164413653888,1827645164413653888,-0.383844012
105862,295.433341,22.044063,58.14938,-0.483875,1827710413557898240,1827710413557898240,
105815,295.321077,22.025631,58.081846,-0.402583,1827710825869439872,1827710825869439872,1.3815666294457576
105899,295.512036,22.098982,58.233227,-0.519997,1827712406422775040,1827712406422775040,-0.315674819
105971,295.620402,22.290763,58.449529,-0.511956,1827721992791147520,1827721992791147520,0.078803648
106454,296.135622,22.501352,58.869406,-0.820164,1827752023198342272,1827752023198342272,0.5414397286523887
106377,295.978217,22.56227,58.849632,-0.663772,1827756666082452608,1827756666082452608,0.037915959
106602,296.430321,22.378972,58.899753,-1.117231,1827781679946196608,1827781679946196608,0.40374215367968225
106630,296.511729,22.592561,59.122303,-1.075189,1827838236105293952,1827838236105293952,-0.053791185
106471,296.172212,22.592576,58.965321,-0.803856,1827847062236779520,1827847062236779520,1.115694539422772
106636,296.534784,23.109003,59.579712,-0.834358,1827889462149995264,1827889462149995264,-0.135292275
106839,296.768234,23.356547,59.901584,-0.895339,1828274325579019648,1828274325579019648,0.2280904796517146
116559,336.547059,57.540369,104.400156,-0.008828,2007868520503440000,2007868520503440000,-0.645716355
116555,336.5347,57.545424,104.397184,-0.001036,2007868559171137664,2007868559171137664,0.053782513
116558,336.544994,57.555822,104.407359,0.004889,2007868589225187584,2007868589225187584,0.070009099
116542,336.462237,57.586433,104.385809,0.054306,2007872231354876416,2007872231354876416,0.4113266868459501
116541,336.459482,57.60205,104.392803,0.068347,2007872304382521216,2007872304382521216,0.20412326595459201
116548,336.48441,57.596891,104.401423,0.056914,2007872613620185600,2007872613620185600,0.3110506024149533
116627,336.848937,57.626479,104.583094,-0.020531,2007875637277325312,2007875637277325312,0.14217575798047707
116641,336.97504,57.664596,104.66055,-0.023289,2007876015228864768,2007876015228864768,0.44904560762211587
116652,337.047224,57.896876,104.814463,0.154886,2007883673150412032,2007883673150412032,
116821,338.488071,58.113089,105.581003,-0.049947,2007945490612287104,2007945490612287104,0.566086837
116860,338.740298,58.189767,105.734605,-0.050236,2007951159971091712,2007951159971091712,1.2491834045285741
116852,338.696304,58.199773,105.719516,-0.029986,2007951881534270976,2007951881534270976,5.370578121980585e-05
116883,338.943343,58.322431,105.893302,0.011625,2007954424155310976,2007954424155310976,0.2853815892665558
116754,338.152255,58.134928,105.438917,0.058392,2007959367653814656,2007959367653814656,0.8429259207746489
116747,338.136503,58.192465,105.460917,0.112203,2007960845122564352,2007960845122564352,1.4199057323210449
116834,338.634814,58.222137,105.702652,0.005581,2007963559536682496,2007963559536682496,-0.106992497
116848,338.684886,58.301162,105.764991,0.060831,2007965140089920384,2007965140089920384,0.6428333018291299
116839,338.662052,58.338714,105.773385,0.099347,2007965483682955904,2007965483682955904,-2.889395626
116862,338.745483,58.285133,105.784574,0.031036,2007965586761737600,2007965586761737600,0.21785205343304304
116874,338.895798,58.358828,105.889732,0.055611,2007966484423643008,2007966484423643008,-0.01593522
116861,338.740995,58.355668,105.817741,0.093331,2007966926792064384,2007966926792064384,0.2703671817448827
116859,338.736904,58.353162,105.81463,0.092231,2007966931100019584,2007966931100019584,-0.052457738
116864,338.755649,58.372083,105.832594,0.103719,2007967098590858624,2007967098590858624,-0.21723593
116873,338.880194,58.38493,105.895613,0.082325,2007967304749352448,2007967304749352448,2.062087934642431
116828,338.582487,58.345355,105.740563,0.126006,2007968541699733760,2007968541699733760,0.37583631780186216
116857,338.729223,58.380136,105.824608,0.117614,2007969954748475136,2007969954748475136,1.5305841642155815
116858,338.736733,58.417013,105.84643,0.1476,2007970332714088320,2007970332714088320,0.1301824759390077
116854,338.715569,58.415401,105.836022,0.151739,2007970397126026624,2007970397126026624,0.2168752153574703
116842,338.666378,58.429059,105.820538,0.176444,2007971118684416896,2007971118684416896,-0.075592383
116676,337.701268,58.049935,105.19051,0.106742,2007981362191072128,2007981362191072128,-0.034208054
