SFCno,GLON,GLAT,Vmean,SigV,Rang,MaxAxis,MinAxis,Rgal,D,Wco,Mgas,Rad,Q,Sigma,SFEbr,SFRbr,tff,aVir,_RA_icrs,_DE_icrs
0,359.97,0.2,-38.01,10.89,0.39,0.59,0.32,0.02,8.52,600,904000,57.96,20.4,59.5,0.0349,0.0695,7.71,8.85,266.19,-28.86
108,70.14,1.61,-25.13,2.72,0.44,0.72,0.34,9.88,8.69,179,280000,66.15,17.1,12.6,0.0887,0.387,16.87,2.03,300.33,33.42
165,286.39,-0.06,-9.14,3.9,0.33,0.42,0.29,8.26,3.7,164,46800,21.47,15.8,21.7,0.351,0.692,7.63,8.12,159.72,-58.61
20,6.5,-0.46,16.27,4.77,0.46,0.5,0.44,5.13,3.41,2530,602000,27.34,15.7,246,0.0395,0.0313,3.06,1.2,270.52,-23.57
136,135.05,1.23,-43.59,3.01,0.56,0.79,0.47,12.16,4.56,164,69900,44.26,15,9.55,0.253,1.21,18.48,6.68,39.05,61.61
200,319.59,-0.48,-14.68,7,0.56,0.57,0.55,7.8,11.99,1000,2990000,117.25,14.7,68.5,0.00778,0.0245,12.2,2.24,226.59,-58.92
71,30.39,-0.12,102.54,5.23,0.47,0.77,0.37,4.37,6.53,911,806000,53.44,14.7,62.1,0.0283,0.0528,7.22,2.11,281.81,-2.32
112,81.66,0.81,-2.14,3.42,0.47,0.5,0.45,8.72,3.52,1200,301000,28.9,14.5,111,0.0699,0.085,4.7,1.31,309.45,42.48
46,19.37,-0.21,39.45,7.46,0.43,0.57,0.38,5.5,12.75,825,2780000,96.77,14.2,72,0.00807,0.0198,9.47,2.25,276.77,-12.14
167,289.85,-0.97,17.82,5.35,0.44,0.64,0.37,9.48,7.98,223,295000,61.81,13.9,21.6,0.0699,0.269,14.86,6.98,165.05,-60.98
192,311.75,-0.53,29.55,7.06,0.67,0.73,0.64,10.63,14.18,775,3230000,165.44,13.3,35.9,0.00653,0.0332,19.67,2.98,211.97,-62.09
237,340.62,-0.62,-38.92,7.79,0.52,0.61,0.49,5.55,3.24,5000,1040000,29.69,12.3,350,0.0177,0.012,2.63,2.01,252.98,-45.17
67,29.1,-0.93,49.78,2.67,0.33,0.47,0.28,5.8,11.5,201,551000,66.14,11.3,24.3,0.0318,0.099,12.03,0.999,281.94,-3.83
45,18.84,-0.52,65.13,6,0.37,0.57,0.3,4.39,4.62,1700,753000,29.71,11.3,157,0.0234,0.0187,3.1,1.65,276.8,-12.76
213,327.6,-0.16,-73.56,6.17,0.39,0.47,0.35,5.21,4.65,852,382000,31.24,11.2,106,0.0446,0.0541,4.69,3.63,238.24,-54.1
35,12.57,0.46,17.04,2.37,0.55,0.57,0.53,6.29,14.3,991,4210000,136.28,10.9,60,0.0041,0.0137,12.87,0.212,272.83,-17.82
194,314.1,0.21,-59.62,3.39,0.52,0.6,0.49,6.18,4.92,828,416000,44.98,10.7,61.3,0.0394,0.0791,7.77,1.45,216.12,-60.63
59,26.03,0.13,109.45,3.72,0.36,0.42,0.33,3.92,6.44,352,302000,40.45,10.6,54.6,0.0529,0.106,7.76,2.15,279.58,-6.08
266,353.37,-0.22,-50.57,5.93,0.39,0.4,0.38,2.76,11.03,652,1650000,74.11,10.6,93.4,0.0101,0.0216,8.25,1.84,262.44,-34.65
37,14.26,-0.23,38.26,3.95,0.41,0.44,0.4,4.95,3.75,2370,693000,27,10.4,291,0.0234,0.017,2.8,0.709,274.31,-16.66
107,68.32,1.05,-62.92,4.43,0.36,0.55,0.3,12.66,13.03,75.3,265000,82.98,9.4,9.12,0.0535,0.337,24.35,7.16,299.76,31.58
115,84.68,-0.58,0.08,2.82,0.71,0.87,0.64,8.63,2.44,4990,593000,30.39,8.89,185,0.0225,0.021,3.61,0.474,313.52,43.97
134,111.18,0.63,-56.16,3.45,0.32,0.53,0.25,12.04,5.99,640,477000,33.54,8.43,79.8,0.0274,0.0331,4.67,0.973,347.85,61.2
16,4.59,-0.03,6.29,5.64,0.45,0.59,0.4,6.29,14.73,1710,7650000,115.85,8.07,159,0.00167,0.00324,7.48,0.56,269.07,-25.01
74,32.89,-0.26,90.31,5.23,0.43,0.52,0.39,4.8,7.07,1180,1100000,52.48,8,116,0.0104,0.0161,6.01,1.52,283.07,-0.16
139,151.58,-0.47,-52.65,2.88,0.25,0.29,0.24,17.86,9.92,23.9,48900,44.14,7.63,5.8,0.199,1.13,22.01,8.71,62.5,51.01
184,307.63,-0.46,-35.02,4.45,0.53,0.59,0.5,7.13,7.55,859,1020000,69.98,7.39,62.6,0.0115,0.0286,9.64,1.59,203.24,-62.95
